"column_name";"description"
"op";"nieuwe persoon"
"opid";"uniek id voor iedere op"
"steekproef";"steekproefindicator"
"mode";"responsmode"
"hhpers";"aantal personen in huishouden"
"hhsam";"huishoudsamenstelling"
"hhplop";"plaats op in huishouden tov huishoudkern"
"hhlft1";"aantal huishoudleden jonger dan 6 jaar"
"hhlft2";"aantal huishoudleden van 6 t/m 11 jaar"
"hhlft3";"aantal huishoudleden van 12 t/m 17 jaar"
"hhlft4";"aantal huishoudleden van 18 jaar of ouder"
"wopc";"postcode woonadres"
"wogem";"woongemeente"
"sted";"stedelijkheidsklasse woongemeente"
"gemgr";"inwoneraantalklasse woongemeente"
"prov";"provincie woongemeente"
"corop";"coropgebied woongemeente"
"buurtadam";"buurtcombinatie amsterdam"
"mra";"metropoolregio amsterdam"
"mrdh";"metropoolregio rotterdam den haag"
"geslacht";"geslacht op"
"leeftijd";"leeftijd op"
"kleeft";"leeftijdsklasse op"
"herkomst";"migratieachtergrond op"
"betwerk";"betaald werk op"
"onbbez";"onbetaalde bezigheid op"
"maatspart";"maatschappelijke participatie op"
"opleiding";"hoogst voltooide opleiding op"
"hhbestinkg";"besteedbaar inkomen van het huishouden (10% groepen)"
"hhgestinkg";"gestandaardiseerd besteedbaar inkomen van het huishouden (10% groepen)"
"hhlaagink";"afwijking lage-inkomensgrens"
"hhsocink";"afwijking sociaal minimum"
"hhwelvg";"welvaart van het huishouden (10% groepen)"
"hhrijbewijsau";"aantal autorijbewijzen in huishouden"
"hhrijbewijsmo";"aantal motorfietsrijbewijzen in huishouden"
"hhrijbewijsbr";"aantal bromfietsrijbewijzen in huishouden"
"oprijbewijsau";"op bezit rijbewijs auto"
"oprijbewijsmo";"op bezit rijbewijs motorfiets"
"oprijbewijsbr";"op bezit rijbewijs bromfiets"
"hhauto";"aantal personenauto's in huishouden"
"hhautol";"aantal personenauto’s geleased of op naam van een bedrijf in huishouden"
"opauto";"aantal personenauto’s op naam op"
"brandstofpa1";"eerste brandstof jongste personenauto op naam huishouden"
"xbrandstofpa1";"tweede brandstof jongste personenauto op naam huishouden"
"brandstofepa1";"type elektrische auto jongste personenauto op naam huishouden"
"bouwjaarpa1";"bouwjaar jongste personenauto op naam huishouden"
"kbouwjaarpa1";"bouwjaarklasse jongste personenauto op naam huishouden"
"kgewichtpa1";"gewichtsklasse jongste personenauto op naam huishouden"
"tenaampa1";"tenaamstelling jongste personenauto op naam huishouden"
"brandstofpa2";"eerste brandstof een na jongste personenauto op naam huishouden"
"xbrandstofpa2";"tweede brandstof een na jongste personenauto op naam huishouden"
"brandstofepa2";"type elektrische auto een na jongste personenauto op naam huishouden"
"bouwjaarpa2";"bouwjaar een na jongste personenauto op naam huishouden"
"kbouwjaarpa2";"bouwjaarklasse een na jongste personenauto op naam huishouden"
"kgewichtpa2";"gewichtsklasse een na jongste personenauto op naam huishouden"
"tenaampa2";"tenaamstelling een na jongste personenauto op naam huishouden"
"brandstofpal";"eerste brandstof leaseauto of personenauto op naam bedrijf in huishouden"
"xbrandstofpal";"tweede brandstof leaseauto of personenauto op naam bedrijf in huishouden"
"brandstofepal";"type elektrische auto leaseauto of personenauto op naam bedrijf in huishouden"
"bouwjaarpal";"bouwjaar leaseauto of personenauto op naam bedrijf in huishouden"
"kbouwjaarpal";"bouwjaarklasse leaseauto of personenauto op naam bedrijf in huishouden"
"kgewichtpal";"gewichtsklasse leaseauto of personenauto op naam bedrijf in huishouden"
"hhmotor";"aantal motoren in huishouden"
"opmotor";"aantal motoren op naam op"
"hhbrom";"aantal bromfietsen in huishouden"
"opbrom";"aantal bromfietsen op naam op"
"hhsnor";"aantal snorfietsen op naam huishouden"
"opsnor";"aantal snorfietsen op naam op"
"hhefiets";"elektrische fiets in huishouden"
"hhbezitvm";"vervoermiddelenbezit huishouden"
"opbezitvm";"vervoermiddelenbezit op"
"fqnefiets";"frequentie gebruik niet-elektrische fiets"
"fqefiets";"frequentie gebruik elektrische fiets"
"fqbtm";"frequentie gebruik bus, tram en/of metro"
