coefficient_name,value,constrain
coef_escorting_tour,-0.5,T
coef_discretionary_tour,-0.5,T
coef_shopping_tour,0.0,T
coef_maintenance_tour,0.5,T
coef_visiting_or_social_tour,0.6,T
coef_eating_out_tour,-0.5,T
coef_total_number_of_tours_is_0_no_prior_tours,-999.0,T
coef_total_number_of_tours_is_0_prior_tours,0.0,T
coef_total_number_of_tours_is_1,-38.16164012718498,F
coef_total_number_of_tours_is_2,92.38664871173391,F
coef_total_number_of_tours_is_3,-75.49001600394162,F
coef_total_number_of_tours_is_4,-999.0,T
coef_total_number_of_tours_is_5,-999.0,T
coef_total_number_of_tours_is_6_plus,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,516.8103458673639,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-359.3127485455022,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-14.387570097888675,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,-0.2162,F
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.3587,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-4.2701,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999.0,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_shopping_tours,0.0,T
coef_number_of_joint_maintenance_tours,0.0,T
coef_number_of_joint_eating_out_tours,0.0,T
coef_number_of_joint_visit_tours,0.0,T
coef_number_of_joint_discretionary_tours,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,395.83384236635897,F
coef_logged_maximum_residual_window_tour_frequency_is_2,630.351105925228,F
coef_logged_maximum_residual_window_tour_frequency_is_3,3.2808,F
coef_logged_maximum_residual_window_tour_frequency_is_4,3.2808,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,-14.479570957632506,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_2,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_3,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_4,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,0.0,T
coef_high_income_group_and_tour_frequency_is_1,0.0,T
coef_high_income_group_and_tour_frequency_is_2,0.0,T
coef_high_income_group_and_tour_frequency_is_3,0.0,T
coef_high_income_group_and_tour_frequency_is_4,0.0,T
coef_high_income_group_and_tour_frequency_is_5_plus,0.0,T
coef_mediumlow_income_group_and_shopping_tour,0.0,T
coef_mediumhigh_income_group_and_shopping_tour,0.2443,F
coef_high_income_group_and_shopping_tour,2.6228448393928727,F
coef_mediumlow_income_group_and_maintenance_tour,0.0,T
coef_mediumhigh_income_group_and_maintenance_tour,0.3982,F
coef_high_income_group_and_maintenance_tour,-424.6922640443982,F
coef_mediumlow_income_group_and_eating_out_tour,0.0,T
coef_mediumhigh_income_group_and_eating_out_tour,0.4916,F
coef_high_income_group_and_eating_out_tour,-146.84413070282008,F
coef_mediumlow_income_group_and_discretionary_tour,-120.98480713501169,F
coef_mediumhigh_income_group_and_discretionary_tour,-214.5747587560503,F
coef_high_income_group_and_discretionary_tour,251.3949101372869,F
coef_mediumlow_income_group_and_visiting_tour,0.0,T
coef_mediumhigh_income_group_and_visiting_tour,0.2858,F
coef_high_income_group_and_visiting_tour,273.16574403081114,F
coef_female_and_tour_frequency_is_1,0.0,T
coef_female_and_tour_frequency_is_2,0.0,T
coef_female_and_tour_frequency_is_3,0.0,T
coef_female_and_tour_frequency_is_4,0.0,T
coef_female_and_tour_frequency_is_5,0.0,T
coef_female_and_escorting_tour,0.0,T
coef_female_and_shopping_tour,0.0,T
coef_female_and_maintenance_tour,0.0,T
coef_female_and_eatingout_tour,0.0,T
coef_female_and_discretionary_tour,0.0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.6369,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.6369,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.6369,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.6369,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.6369,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.6369,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.6369,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.6369,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.6369,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-357.33019975939203,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.2902000000000983,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,2.0352,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,2.0352,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,2.0352,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,2.0351999999999637,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,-0.6571,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.4044,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.4044,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.4044,F
coef_presence_of_retiree_and_tour_frequency_is_1,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,-0.3219,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,-1.0874,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,-1.0874,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,-1.0874,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,-1.0874,F
coef_presence_of_full_time_worker_and_escorting_tour,0.0,T
coef_presence_of_part_time_worker_and_escorting_tour,0.0,T
coef_presence_of_non_worker_and_escorting_tour,0.0,T
coef_presence_of_retiree_and_escorting_tour,0.0,T
coef_presence_of_university_student_and_escorting_tour,0.0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,0.0,T
coef_presence_of_pre_school_kid_and_escorting_tour,0.0,T
coef_at_home_pre_driving_school_kid_and_escorting_tour,0.0,T
coef_at_home_pre_school_kid_and_escorting_tour,0.0,T
coef_presence_of_full_time_worker_and_shopping_tour,0.0,T
coef_presence_of_part_time_worker_and_shopping_tour,0.0,T
coef_presence_of_non_worker_and_shopping_tour,0.0,T
coef_presence_of_retiree_and_shopping_tour,0.0,T
coef_presence_of_university_student_and_shopping_tour,0.0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0.0,T
