coefficient_name,value,constrain
coef_escorting_tour,-0.5,T
coef_discretionary_tour,-0.5,T
coef_shopping_tour,0.0,T
coef_maintenance_tour,0.5,T
coef_visiting_or_social_tour,0.6,T
coef_eating_out_tour,-0.5,T
coef_total_number_of_tours_is_0_no_prior_tours,-999.0,T
coef_total_number_of_tours_is_0_prior_tours,0.0,T
coef_total_number_of_tours_is_1,-59.20313510467076,F
coef_total_number_of_tours_is_2,-37.777464120633034,F
coef_total_number_of_tours_is_3,-11.635475095056162,F
coef_total_number_of_tours_is_4,-38.4958586490672,F
coef_total_number_of_tours_is_5,-23.340877354572108,F
coef_total_number_of_tours_is_6_plus,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-25.992862614370498,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-2.3343,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-2.3343,F
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-17.995411156028084,F
coef_number_of_joint_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_3,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_4,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,0.0,T
coef_number_of_joint_shopping_tours,0.0,T
coef_number_of_joint_maintenance_tours,0.0,T
coef_number_of_joint_eating_out_tours,-0.5865999999999957,F
coef_number_of_joint_visit_tours,0.0,T
coef_number_of_joint_discretionary_tours,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,2.917437771244294,F
coef_logged_maximum_residual_window_tour_frequency_is_2,13.1961423351113,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.3993,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.3993,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,-27.652960457197214,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.4981,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.8345,F
coef_mediumlow_income_group_and_tour_frequency_is_3,1.0213,F
coef_mediumlow_income_group_and_tour_frequency_is_4,1.0213,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,1.0213,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,-0.8424990279725143,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,-4.284373855890589,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.0213,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.0213,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,-11.866581196704617,F
coef_high_income_group_and_tour_frequency_is_1,-0.39756950544750524,F
coef_high_income_group_and_tour_frequency_is_2,-2.230128473155216,F
coef_high_income_group_and_tour_frequency_is_3,1.3899,F
coef_high_income_group_and_tour_frequency_is_4,1.3899,F
coef_high_income_group_and_tour_frequency_is_5_plus,-9.602728018000406,F
coef_mediumlow_income_group_and_shopping_tour,0.0,T
coef_mediumhigh_income_group_and_shopping_tour,0.0,T
coef_high_income_group_and_shopping_tour,0.0,T
coef_mediumlow_income_group_and_maintenance_tour,0.0,T
coef_mediumhigh_income_group_and_maintenance_tour,0.0,T
coef_high_income_group_and_maintenance_tour,0.0,T
coef_mediumlow_income_group_and_eating_out_tour,0.0,T
coef_mediumhigh_income_group_and_eating_out_tour,0.5581,F
coef_high_income_group_and_eating_out_tour,14.802372933830418,F
coef_mediumlow_income_group_and_discretionary_tour,0.0,T
coef_mediumhigh_income_group_and_discretionary_tour,0.2565,F
coef_high_income_group_and_discretionary_tour,0.7199958768869946,F
coef_mediumlow_income_group_and_visiting_tour,0.0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.2423,F
coef_high_income_group_and_visiting_tour,0.7408168688552544,F
coef_female_and_tour_frequency_is_1,0.1822147662140008,F
coef_female_and_tour_frequency_is_2,0.9735806182568542,F
coef_female_and_tour_frequency_is_3,-0.3274,F
coef_female_and_tour_frequency_is_4,-0.3274,F
coef_female_and_tour_frequency_is_5,0.6999429565762486,F
coef_female_and_escorting_tour,0.36212911057697816,F
coef_female_and_shopping_tour,0.0,T
coef_female_and_maintenance_tour,0.0,T
coef_female_and_eatingout_tour,0.0,T
coef_female_and_discretionary_tour,0.0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.3486,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.3486,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.3486,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.3486,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,0.3737040240153906,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,0.0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_2,0.0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_3,0.0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_4,0.0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.1304,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.1304,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.1304,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.1304,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,1.1134280248851065,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_3,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_4,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_5,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_1,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.0,T
coef_presence_of_full_time_worker_and_escorting_tour,0.0,T
coef_presence_of_part_time_worker_and_escorting_tour,0.0,T
coef_presence_of_non_worker_and_escorting_tour,-0.4815,F
coef_presence_of_retiree_and_escorting_tour,-0.808,F
coef_presence_of_university_student_and_escorting_tour,0.0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.3601,F
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.3974,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.6842,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,-0.2746000000000779,F
coef_at_home_pre_school_kid_and_escorting_tour,-1.5674999999999844,F
coef_presence_of_full_time_worker_and_shopping_tour,-0.3059,F
coef_presence_of_part_time_worker_and_shopping_tour,-0.1541,F
coef_presence_of_non_worker_and_shopping_tour,-0.416,F
coef_presence_of_retiree_and_shopping_tour,0.0,T
coef_presence_of_university_student_and_shopping_tour,0.0,T
