coefficient_name,value,constrain
coef_escorting_tour,-0.5,T
coef_discretionary_tour,-0.5,T
coef_shopping_tour,0.0,T
coef_maintenance_tour,0.5,T
coef_visiting_or_social_tour,0.6,T
coef_eating_out_tour,-0.5,T
coef_total_number_of_tours_is_0_no_prior_tours,-999.0,T
coef_total_number_of_tours_is_0_prior_tours,0.0,T
coef_total_number_of_tours_is_1,-6.126315369844532,F
coef_total_number_of_tours_is_2,-4.61877246847014,F
coef_total_number_of_tours_is_3,-21.245740147977187,F
coef_total_number_of_tours_is_4,-21.568372013709762,F
coef_total_number_of_tours_is_5,-999.0,T
coef_total_number_of_tours_is_6_plus,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.6766,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-1.0518,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-1.0518,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,-0.1699,F
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.4285,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-0.6551,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-1.0411,F
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-1.0411,F
coef_number_of_joint_shopping_tours,-0.2391,F
coef_number_of_joint_maintenance_tours,0.0,T
coef_number_of_joint_eating_out_tours,-0.7727,F
coef_number_of_joint_visit_tours,0.0,T
coef_number_of_joint_discretionary_tours,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.7637000000000096,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,1.7928000000000093,F
coef_mediumlow_income_group_and_tour_frequency_is_1,1.0175151738953738,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_3,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_4,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0.38488482610386493,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,7.794976186618258,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,5.107158984154356,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.0792,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.0792,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,-10.225735170773092,F
coef_high_income_group_and_tour_frequency_is_1,1.0633,F
coef_high_income_group_and_tour_frequency_is_2,10.994439298448764,F
coef_high_income_group_and_tour_frequency_is_3,-7.16777711484362,F
coef_high_income_group_and_tour_frequency_is_4,2.3941,F
coef_high_income_group_and_tour_frequency_is_5_plus,1.4049378163948587,F
coef_mediumlow_income_group_and_shopping_tour,-19.47332635419096,F
coef_mediumhigh_income_group_and_shopping_tour,-20.412707160871044,F
coef_high_income_group_and_shopping_tour,-37.10379797432012,F
coef_mediumlow_income_group_and_maintenance_tour,0.0,T
coef_mediumhigh_income_group_and_maintenance_tour,0.0,T
coef_high_income_group_and_maintenance_tour,0.0,T
coef_mediumlow_income_group_and_eating_out_tour,-4.33304608429248,F
coef_mediumhigh_income_group_and_eating_out_tour,-4.7852841673482605,F
coef_high_income_group_and_eating_out_tour,-1.5724941134461827,F
coef_mediumlow_income_group_and_discretionary_tour,-1.3133852613405668,F
coef_mediumhigh_income_group_and_discretionary_tour,-18.082111988201408,F
coef_high_income_group_and_discretionary_tour,0.69981551000732,F
coef_mediumlow_income_group_and_visiting_tour,-0.267,F
coef_mediumhigh_income_group_and_visiting_tour,-1.1211569065235183,F
coef_high_income_group_and_visiting_tour,0.7056945655097495,F
coef_female_and_tour_frequency_is_1,-3.7900946820182324,F
coef_female_and_tour_frequency_is_2,-3.2364515649486676,F
coef_female_and_tour_frequency_is_3,11.722089336855769,F
coef_female_and_tour_frequency_is_4,1.1294,F
coef_female_and_tour_frequency_is_5,-1.8984430898902789,F
coef_female_and_escorting_tour,0.0,T
coef_female_and_shopping_tour,0.0,T
coef_female_and_maintenance_tour,0.32344836032076824,F
coef_female_and_eatingout_tour,0.0,T
coef_female_and_discretionary_tour,0.0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.3623,F
coef_zero_car_ownership_and_tour_frequency_is_2,-1.272,F
coef_zero_car_ownership_and_tour_frequency_is_3,-1.9307,F
coef_zero_car_ownership_and_tour_frequency_is_4,-1.9307,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,4.810041593922604,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,3.1179663369856576,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-11.493007930909156,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.7737999999996731,F
coef_presence_of_non_worker_and_tour_frequency_is_1,-0.3763,F
coef_presence_of_non_worker_and_tour_frequency_is_2,-0.719,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.0229,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.0229,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.0229,F
coef_presence_of_retiree_and_tour_frequency_is_1,-0.464,F
coef_presence_of_retiree_and_tour_frequency_is_2,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_3,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_4,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_5,-0.4795,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-0.7161,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.1486,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.484,F
coef_presence_of_full_time_worker_and_escorting_tour,0.3947,F
coef_presence_of_part_time_worker_and_escorting_tour,-0.5861,F
coef_presence_of_non_worker_and_escorting_tour,0.0,T
coef_presence_of_retiree_and_escorting_tour,0.0,T
coef_presence_of_university_student_and_escorting_tour,0.0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.3773,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.7194,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,-1.147999999999998,F
coef_at_home_pre_school_kid_and_escorting_tour,-0.13729999999997905,F
coef_presence_of_full_time_worker_and_shopping_tour,0.0,T
coef_presence_of_part_time_worker_and_shopping_tour,0.0,T
