coefficient_name,value,constrain
coef_escorting_tour,-0.5,T
coef_discretionary_tour,-0.5,T
coef_shopping_tour,0.0,T
coef_maintenance_tour,0.5,T
coef_visiting_or_social_tour,0.6,T
coef_eating_out_tour,-0.5,T
coef_total_number_of_tours_is_0_no_prior_tours,-999.0,T
coef_total_number_of_tours_is_0_prior_tours,0.0,T
coef_total_number_of_tours_is_1,51.265408730201926,F
coef_total_number_of_tours_is_2,-79.34936094266796,F
coef_total_number_of_tours_is_3,-204.74733390443353,F
coef_total_number_of_tours_is_4,-35.020265573231846,F
coef_total_number_of_tours_is_5,-999.0,T
coef_total_number_of_tours_is_6_plus,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-24.012307079385003,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-32.90939208642466,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-2.5923,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-2.5923,F
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-364.0026380035043,F
coef_number_of_joint_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-1.1986,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-1.1986,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-1.1985999999998826,F
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_shopping_tours,0.0,T
coef_number_of_joint_maintenance_tours,0.0,T
coef_number_of_joint_eating_out_tours,0.0,T
coef_number_of_joint_visit_tours,0.0,T
coef_number_of_joint_discretionary_tours,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0.0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,3.6076980598011748,F
coef_logged_maximum_residual_window_tour_frequency_is_2,2.0026,F
coef_logged_maximum_residual_window_tour_frequency_is_3,2.0026,F
coef_logged_maximum_residual_window_tour_frequency_is_4,2.0026,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,6.7444478388405065,F
coef_mediumlow_income_group_and_tour_frequency_is_1,14.294891849981711,F
coef_mediumlow_income_group_and_tour_frequency_is_2,191.79574358482762,F
coef_mediumlow_income_group_and_tour_frequency_is_3,1.7539,F
coef_mediumlow_income_group_and_tour_frequency_is_4,1.7539,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,228.6951796503768,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.8682,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,1.5362,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.9331,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.9331,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,1.9331,F
coef_high_income_group_and_tour_frequency_is_1,14.046872274595648,F
coef_high_income_group_and_tour_frequency_is_2,191.309916434116,F
coef_high_income_group_and_tour_frequency_is_3,1.9331,F
coef_high_income_group_and_tour_frequency_is_4,1.9331,F
coef_high_income_group_and_tour_frequency_is_5_plus,227.40052775610317,F
coef_mediumlow_income_group_and_shopping_tour,0.4421,F
coef_mediumhigh_income_group_and_shopping_tour,-12.997083299707725,F
coef_high_income_group_and_shopping_tour,-12.67031468694823,F
coef_mediumlow_income_group_and_maintenance_tour,0.6763,F
coef_mediumhigh_income_group_and_maintenance_tour,0.6763,F
coef_high_income_group_and_maintenance_tour,-13.528971355222218,F
coef_mediumlow_income_group_and_eating_out_tour,0.0,T
coef_mediumhigh_income_group_and_eating_out_tour,0.0,T
coef_high_income_group_and_eating_out_tour,0.0,T
coef_mediumlow_income_group_and_discretionary_tour,0.296,F
coef_mediumhigh_income_group_and_discretionary_tour,0.296,F
coef_high_income_group_and_discretionary_tour,91.86601221444134,F
coef_mediumlow_income_group_and_visiting_tour,-0.6868,F
coef_mediumhigh_income_group_and_visiting_tour,-0.6868,F
coef_high_income_group_and_visiting_tour,138.14059166472117,F
coef_female_and_tour_frequency_is_1,0.0,T
coef_female_and_tour_frequency_is_2,0.0,T
coef_female_and_tour_frequency_is_3,0.0,T
coef_female_and_tour_frequency_is_4,0.0,T
coef_female_and_tour_frequency_is_5,0.0,T
coef_female_and_escorting_tour,0.0,T
coef_female_and_shopping_tour,0.5919047668799176,F
coef_female_and_maintenance_tour,0.0,T
coef_female_and_eatingout_tour,0.0,T
coef_female_and_discretionary_tour,0.17120125613701342,F
coef_zero_car_ownership_and_tour_frequency_is_1,-0.5498,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.5498,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.5498,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.5498,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.5498,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.5498,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.5498,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.5498,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.5498,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0.7150340652485193,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_1,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_3,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_4,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_5,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_1,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.1559,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-0.5681,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-0.5681,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-0.5681,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-0.5681,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.0,T
coef_presence_of_full_time_worker_and_escorting_tour,0.0,T
coef_presence_of_part_time_worker_and_escorting_tour,0.0,T
coef_presence_of_non_worker_and_escorting_tour,-0.5263,F
coef_presence_of_retiree_and_escorting_tour,-0.7516,F
coef_presence_of_university_student_and_escorting_tour,0.0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.4164,F
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.5795,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.5414,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0.0,T
coef_at_home_pre_school_kid_and_escorting_tour,0.0,T
coef_presence_of_full_time_worker_and_shopping_tour,0.0,T
coef_presence_of_part_time_worker_and_shopping_tour,0.0,T
coef_presence_of_non_worker_and_shopping_tour,0.0,T
coef_presence_of_retiree_and_shopping_tour,0.0,T
coef_presence_of_university_student_and_shopping_tour,0.0,T
