coefficient_name,value,constrain
coef_escorting_tour,-0.5,T
coef_discretionary_tour,-0.5,T
coef_shopping_tour,0.0,T
coef_maintenance_tour,0.5,T
coef_visiting_or_social_tour,0.6,T
coef_eating_out_tour,-0.5,T
coef_total_number_of_tours_is_0_no_prior_tours,-999.0,T
coef_total_number_of_tours_is_0_prior_tours,0.0,T
coef_total_number_of_tours_is_1,13.15312810595174,F
coef_total_number_of_tours_is_2,-35.0978975626085,F
coef_total_number_of_tours_is_3,-19.389998008979287,F
coef_total_number_of_tours_is_4,-17.41863758833959,F
coef_total_number_of_tours_is_5,-999.0,T
coef_total_number_of_tours_is_6_plus,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,0.8412572450601515,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,41.51415655109212,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,2.1580293798792303,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999.0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0.0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.31529999999996594,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-0.7350999999999271,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999.0,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999.0,T
coef_number_of_joint_shopping_tours,-0.7130000000000372,F
coef_number_of_joint_maintenance_tours,0.0,T
coef_number_of_joint_eating_out_tours,0.0,T
coef_number_of_joint_visit_tours,0.0,T
coef_number_of_joint_discretionary_tours,0.6713000000000209,F
coef_logged_maximum_residual_window_tour_frequency_is_0,-0.4281681011164247,F
coef_logged_maximum_residual_window_tour_frequency_is_1,1.4842,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.4842,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.4842,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.4842,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,3.0981681010829156,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0.0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0.0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,1.7474164460142871,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,-29.027025474907642,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,0.6137,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,0.6137,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,2.5774242279692605,F
coef_high_income_group_and_tour_frequency_is_1,45.83444115852579,F
coef_high_income_group_and_tour_frequency_is_2,-24.01811171153035,F
coef_high_income_group_and_tour_frequency_is_3,0.8254,F
coef_high_income_group_and_tour_frequency_is_4,0.8254,F
coef_high_income_group_and_tour_frequency_is_5_plus,1.1177407359018348,F
coef_mediumlow_income_group_and_shopping_tour,0.5693,F
coef_mediumhigh_income_group_and_shopping_tour,0.5693,F
coef_high_income_group_and_shopping_tour,-0.38674933035986914,F
coef_mediumlow_income_group_and_maintenance_tour,0.0,T
coef_mediumhigh_income_group_and_maintenance_tour,0.0,T
coef_high_income_group_and_maintenance_tour,0.0,T
coef_mediumlow_income_group_and_eating_out_tour,0.0,T
coef_mediumhigh_income_group_and_eating_out_tour,-0.7207,F
coef_high_income_group_and_eating_out_tour,-0.5528605535447468,F
coef_mediumlow_income_group_and_discretionary_tour,0.0,T
coef_mediumhigh_income_group_and_discretionary_tour,0.0,T
coef_high_income_group_and_discretionary_tour,0.0,T
coef_mediumlow_income_group_and_visiting_tour,0.0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.3694,F
coef_high_income_group_and_visiting_tour,-0.1594459185894256,F
coef_female_and_tour_frequency_is_1,1.8511017246028667,F
coef_female_and_tour_frequency_is_2,-72.69299382725126,F
coef_female_and_tour_frequency_is_3,1.9002,F
coef_female_and_tour_frequency_is_4,1.9002,F
coef_female_and_tour_frequency_is_5,-2.7129329648621687,F
coef_female_and_escorting_tour,0.0,T
coef_female_and_shopping_tour,0.0,T
coef_female_and_maintenance_tour,0.0,T
coef_female_and_eatingout_tour,1.9339170842191227,F
coef_female_and_discretionary_tour,0.7407562392168533,F
coef_zero_car_ownership_and_tour_frequency_is_1,-0.581,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.581,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.581,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.581,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.581,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.581,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.581,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.581,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.581,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0.14302947756519027,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.0,T
coef_presence_of_non_worker_and_tour_frequency_is_1,-0.8506,F
coef_presence_of_non_worker_and_tour_frequency_is_2,-1.1804,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.1804,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.1804,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.1804,F
coef_presence_of_retiree_and_tour_frequency_is_1,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0.0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0.0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.9961,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-1.9096,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-2.8469,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-2.8469,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-2.8469,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.0,T
coef_presence_of_full_time_worker_and_escorting_tour,0.0,T
coef_presence_of_part_time_worker_and_escorting_tour,-1.8213,F
coef_presence_of_non_worker_and_escorting_tour,0.0,T
coef_presence_of_retiree_and_escorting_tour,0.0,T
coef_presence_of_university_student_and_escorting_tour,0.0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,0.9489,F
coef_presence_of_pre_school_kid_and_escorting_tour,2.1465,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0.0,T
coef_at_home_pre_school_kid_and_escorting_tour,0.0,T
coef_presence_of_full_time_worker_and_shopping_tour,-0.7728,F
coef_presence_of_part_time_worker_and_shopping_tour,-0.5199,F
coef_presence_of_non_worker_and_shopping_tour,0.0,T
coef_presence_of_retiree_and_shopping_tour,0.0,T
