coefficient_name,value,constrain
coef_dummy,1.0,T
coef_roundtrip_auto_time_to_work,0.0024485976405390123,F
coef_ft_worker_departure,0.3971000362652307,F
coef_ft_worker_duration,-0.19080015305641618,F
coef_non_worker_departure,0.5539000000104772,F
coef_univ_departure,0.21761644245906206,F
coef_univ_duration,0.0923211557490924,F
coef_student_driver_duration,-0.05782735327010113,F
coef_all_adults_ft_worker_duration,-0.1936885158353591,F
coef_subsequent_tour_must_start_after_previous_tour_ends,-100.0,T
coef_first_of_2plus_school_tours_departure,-0.6292186331646095,F
coef_first_of_2plus_school_tours_duration,0.008601954933556987,F
coef_subsequent_2plus_school_tours_duration,0.3296826117540154,F
coef_hh_income_early_departure,-25.0,F
coef_hh_income_late_arrival,-1.0781348518603466,F
coef_first_of_2plus_school_lt_6_hours,1.1183136138915402,F
coef_subsequent_of_2plus_school_lt_6_hours,8.259007668280027,F
coef_school_plus_work_tours_by_student_lt_6_hours,-2.1880671210370406,F
coef_school_plus_work_tours_by_worker_lt_6_hours,-1.7760669972229364,F
coef_mode_choice_logsum,-1.5481373316339897,F
coef_previous_tour_ends_this_departure_hour,-25.0,F
coef_previous_tour_begins_this_arrival_hour,25.0,F
coef_adjacent_window_exists_before_this_departure_hour_first_tour_interaction,2.518149137925193,F
coef_adjacent_window_exists_after_this_arrival_hour_first_tour_interaction,1.3281137618623828,F
coef_adjacent_window_exists_before_this_departure_hour_second_plus_tour_interaction,-0.5096039490462189,F
coef_adjacent_window_exists_after_this_arrival_hour_second_plus_tour_interaction,-0.4277720634147269,F
coef_remaining_work_school_tours_to_be_scheduled_div_number_of_unscheduled_hours,-25.0,F
coef_departure_constants_early,-3.9890833229000067,F
coef_departure_constants_am_peak_1,-4.134184351892204,F
coef_departure_constants_am_peak_2,0.0,T
coef_departure_constants_am_peak_3,0.8174576855340461,F
coef_departure_constants_am_peak_4,-1.7326336515237317,F
coef_departure_constants_midday_1,-1.384315142685948,F
coef_departure_constants_midday_2,-0.3899266160290024,F
coef_departure_constants_pm_peak,0.6312159495643824,F
coef_departure_constants_evening,-8.181666947931735,F
coef_departure_constants_late,-11.44257813198971,F
coef_arrival_constants_early,-8.104512122810252,F
coef_arrival_constants_am_peak,-1.1237615302642963,F
coef_arrival_constants_midday_1,0.18695706118102348,F
coef_arrival_constants_midday_2,-0.12062138917525944,F
coef_arrival_constants_pm_peak_1,0.0,T
coef_arrival_constants_pm_peak_2,-0.8949630439744479,F
coef_arrival_constants_pm_peak_3,-1.4181639547059526,F
coef_arrival_constants_pm_peak_4,-3.2266745248158304,F
coef_arrival_constants_evening,-4.23288111698466,F
coef_arrival_constants_late,-18.65030759377528,F
coef_duration_constants_0_to_2_hours,-3.362178150130339,F
coef_duration_constants_3_to_4_hours,-1.9164262319642493,F
coef_duration_constants_5_to_6_hours,-1.4358707691492638,F
coef_duration_constants_7_to_8_hours,0.0,T
coef_duration_constants_9_hours,0.8298575127183179,F
coef_duration_constants_10_hours,1.7084890465865943,F
coef_duration_constants_11_hours,1.44685253730299,F
coef_duration_constants_12_to_13_hours,0.6173748370950389,F
coef_duration_constants_14_to_18_hours,-6.5672608520833515,F
