coefficient_name,value,constrain
coef_dummy,1.0,T
coef_free_flow_round_trip_auto_time_shift_effects_departure,-0.0015976875728298716,F
coef_free_flow_round_trip_auto_time_shift_effects_duration,0.0029572237161541236,F
coef_part_time_worker_departure_shift_effects,0.29393789898041217,F
coef_non_working_adult_duration_shift_effects,-0.12069998248324387,F
coef_university_student_departure_shift_effects,0.28841349446924575,F
coef_household_income_departure_shift_effects,-0.0021518667471700907,F
coef_destination_in_cbd_departure_shift_effects,-0.6603271008850877,F
coef_destination_in_cbd_duration_shift_effects,0.11857914603812669,F
coef_subsequent_tour_must_start_after_previous_tour_ends,-100.0,T
coef_first_of_2plus_work_tours_departure_shift_effects,-0.1036242468852881,F
coef_first_of_2plus_work_tours_duration_shift_effects,1.1793509856108004,F
coef_subsequent_2plus_work_departure_tours_shift_effects,0.2806073567911186,F
coef_subsequent_2plus_work_duration_tours_shift_effects,0.17849991832532391,F
coef_household_income_early_departure_interaction,-0.9651352901371769,F
coef_household_income_late_arrival_interaction,-125.67393249725987,F
coef_destination_in_cbd_early_departure_interaction,-11.528610062368491,F
coef_destination_in_cbd_late_arrival_interaction,-7.192862675558812,F
coef_rural_household_early_departure_interaction,-0.9034986298807494,F
coef_rural_household_late_arrival_interaction,-19.25092780547974,F
coef_full_time_worker_duration_lt_9_hours_interaction,-0.9326350357497122,F
coef_full_time_worker_10_to_12_departure_interaction,0.7444236817482677,F
coef_part_time_worker_13_to_15_arrival_interaction,1.1870728935096242,F
coef_first_of_2plus_work_tours_duration_lt_8_hrs,-2.2579824361166363,F
coef_subsequent_of_2plus_work_tours_duration_lt_8_hrs,4.185494707161709,F
coef_tours_by_worker_duration_lt_8_hrs,-1.4534325995344843,F
coef_tours_by_student_duration_lt_8_hrs,0.21596749747167868,F
coef_mode_choice_logsum,-0.5038061688172469,F
coef_previously_scheduled_tour_ends_in_this_departure_hour,0.6276313334684099,F
coef_previously_scheduled_tour_begins_in_this_arrival_hour,-1.3340000512835652,F
coef_adjacent_window_exists_before_this_departure_hour_first_tour_interaction,1.5403367256707694,F
coef_adjacent_window_exists_after_this_arrival_hour_first_tour_interaction,-0.3590678349570825,F
coef_adjacent_window_exists_before_this_departure_hour_second_plus_tour_interaction,1.2243329594309198,F
coef_adjacent_window_exists_after_this_arrival_hour_second_plus_tour_interaction,-0.30475832079439175,F
coef_remaining_tours_to_be_scheduled_div_number_of_unscheduled_hours,-410.71045814431335,F
coef_departure_constants_early,-2.0927623583063935,F
coef_departure_constants_am_peak_1,-1.2677778213779245,F
coef_departure_constants_am_peak_2,0.0,T
coef_departure_constants_am_peak_3,0.04266245743027045,
coef_departure_constants_am_peak_4,-0.8610624760430606,F
coef_departure_constants_midday_1,-2.1654272503264473,F
coef_departure_constants_midday_2,-2.4074477749991283,F
coef_departure_constants_pm_peak,-2.7898630812466725,F
coef_departure_constants_evening,-2.6533296745003527,F
coef_departure_constants_late,-24.37539490529152,F
coef_arrival_constants_early,0.0,T
coef_arrival_constants_am_peak,-12.188782979864937,F
coef_arrival_constants_midday_1,-0.561802387929145,F
coef_arrival_constants_midday_2,-0.6974508682449905,F
coef_arrival_constants_pm_peak_1,0.0,T
coef_arrival_constants_pm_peak_2,0.8535347484418705,F
coef_arrival_constants_pm_peak_3,1.013540367358262,F
coef_arrival_constants_pm_peak_4,0.43984384942727567,F
coef_arrival_constants_evening,-0.3382563355771463,F
coef_arrival_constants_late,-0.8619801892803189,F
coef_duration_constants_0_to_2_hours,-1.054908509756597,F
coef_duration_constants_3_to_4_hours,-0.10919792609826894,F
coef_duration_constants_5_to_6_hours,-0.25466396648415546,F
coef_duration_constants_7_to_8_hours,-0.45362987688184503,F
coef_duration_constants_9_hours,-0.48833209995804366,F
coef_duration_constants_10_hours,0.0,T
coef_duration_constants_11_hours,-0.239220082296927,F
coef_duration_constants_12_to_13_hours,-1.0012321029795737,F
coef_duration_constants_14_to_18_hours,-1.3724227540598053,F
