home_zone_id,alt_dest,prob,pick_count
136,118,1.0,1
219,241,1.0,2
322,822,1.0,1
332,562,1.0,1
377,179,1.0,1
441,696,1.0,1
466,840,1.0,1
501,145,1.0,1
510,840,1.0,1
519,2622,1.0,1
580,174,1.0,1
642,6779,1.0,1
655,254,0.5,1
655,922,0.5,1
715,164,0.3333333333333333,1
715,809,0.3333333333333333,1
715,840,0.3333333333333333,1
733,6812,1.0,1
943,949,1.0,2
1034,2372,1.0,1
1049,179,1.0,1
1235,1272,1.0,2
1379,1443,1.0,1
1394,1232,1.0,1
1406,1401,1.0,1
1436,24,0.5,1
1436,512,0.5,1
1489,254,1.0,1
1716,1715,1.0,1
2006,2057,1.0,1
2029,2057,1.0,1
2091,4509,1.0,1
2341,2324,1.0,1
2389,2292,0.5,1
2389,2411,0.5,1
2420,333,0.5,1
2420,2372,0.5,1
2429,2277,0.5,1
2429,5355,0.5,1
2508,2277,1.0,1
2528,43,0.3333333333333333,1
2528,2277,0.3333333333333333,1
2528,2525,0.3333333333333333,1
2731,146,0.5,1
2731,5728,0.5,1
2839,2835,1.0,2
2962,2730,1.0,1
3102,3098,0.5,1
3102,6812,0.5,1
3413,3439,1.0,1
3471,3449,1.0,1
3552,5288,1.0,1
3583,3583,1.0,1
3676,3672,1.0,1
3716,3727,1.0,1
3812,3808,1.0,1
3841,3805,1.0,1
3845,6466,1.0,1
3977,3949,1.0,1
4129,2478,0.5,1
4129,6085,0.5,1
4218,4254,1.0,1
4381,4400,0.5,1
4381,5654,0.5,1
4502,4497,0.5,1
4502,4556,0.5,1
4597,4572,0.5,1
4597,5391,0.5,1
4693,4689,1.0,1
4722,4651,1.0,1
5141,5188,1.0,1
5168,5124,1.0,1
5331,7076,1.0,1
5369,5779,1.0,1
5397,5679,0.5,1
5397,6779,0.5,1
5431,5448,1.0,1
5477,5472,0.5,1
5477,6085,0.5,1
5641,5680,0.5,1
5641,5700,0.5,1
5644,5648,1.0,1
5658,5648,1.0,1
5754,5773,1.0,1
5771,5773,1.0,1
5935,5868,0.5,1
5935,5914,0.5,1
5958,5855,0.5,1
5958,6779,0.5,1
5963,5868,1.0,1
6128,6156,1.0,1
6160,6156,1.0,1
6239,6246,1.0,1
6460,6466,1.0,1
6600,3196,1.0,1
7378,5355,1.0,1
7513,2372,1.0,1
7543,6337,1.0,1
7675,2372,1.0,1
