coefficient_name,value,constrain
b_activity_type_2_mode_2,0.479310092,
b_activity_type_2_mode_3,1.238669614,
b_activity_type_2_mode_4,1.451884431,
b_activity_type_2_mode_5,-0.218630218,
b_activity_type_2_mode_6,-2.540829551,
b_activity_type_2_mode_7,0.393919593,
b_activity_type_3_mode_2,-1.407202474,
b_activity_type_3_mode_3,-1.125480259,
b_activity_type_3_mode_4,0.141910262,
b_activity_type_3_mode_5,-0.393553214,
b_activity_type_3_mode_6,-4.3737515,
b_activity_type_3_mode_7,-1.037966051,
b_activity_type_4_mode_2,-0.485541278,
b_activity_type_4_mode_3,0.163062878,
b_activity_type_4_mode_4,1.354908414,
b_activity_type_4_mode_5,0.404143595,
b_activity_type_4_mode_6,-1.627034975,
b_activity_type_4_mode_7,-2.31970771,
b_activity_type_6_mode_2,-0.800683571,
b_activity_type_6_mode_3,0.268602512,
b_activity_type_6_mode_4,0.631612692,
b_activity_type_6_mode_5,0.461805774,
b_activity_type_6_mode_6,-1.923901051,
b_activity_type_6_mode_7,-1.137229234,
b_activity_type_7_mode_2,-0.668512911,
b_activity_type_7_mode_3,0.157441298,
b_activity_type_7_mode_4,0.625173897,
b_activity_type_7_mode_5,0.740395697,
b_activity_type_7_mode_6,-0.671776959,
b_activity_type_7_mode_7,-0.95875013,
b_cost,-0.002729709,F
b_cte_2,-0.463935953,F
b_cte_3,-6.479148528,F
b_cte_4,-5.476631586,F
b_cte_5,-3.532647838,F
b_cte_6,-5.493141324,F
b_cte_7,-4.513957129,F
b_driving_license_mode_5,0.448821037,F
b_driving_license_mode_7,0.575298254,F
b_parking_free,0.046531686,F
b_parking_tariff_mode_4,-0.001404,F
b_parking_tariff_mode_7,0.0037,F
b_tt_gedeeldondemand,-0.001110518,F
b_tt_gedeeldprive,-0.000901238,F
b_tt_gedeeldtraditioneel,-0.000291803,F
b_tt_micro15,-0.003863548,F
b_tt_micro25_ac_23,-0.001256936,F
b_tt_micro25_ac_47,-0.001616195,F
b_tt_micro25_ac_5,-0.001643689,F
b_tt_micro25_ac_6,-0.002144889,F
b_tt_micro5_ac_2,-0.003130328,F
b_tt_micro5_ac_3,-0.004659793,F
b_tt_micro5_ac_47,-0.003725918,F
b_tt_micro5_ac_5,-0.003264972,F
b_tt_micro5_ac_6,-0.003417531,F
b_tt_prive,-0.000892541,F
b_urbanized_2_mode_2,0.221505662,F
b_urbanized_2_mode_3,0.306593522,F
b_urbanized_2_mode_4,0.175020875,F
b_urbanized_2_mode_5,0.152205531,F
b_urbanized_2_mode_6,0.722968584,F
b_urbanized_2_mode_7,-0.089646233,F
b_urbanized_3_mode_2,0.079144391,F
b_urbanized_3_mode_3,0.445165595,F
b_urbanized_3_mode_4,-0.200412431,F
b_urbanized_3_mode_5,-0.149804015,F
b_urbanized_3_mode_6,-0.063349726,F
b_urbanized_3_mode_7,-0.441549865,F
b_urbanized_4_mode_2,0.184984349,F
b_urbanized_4_mode_3,0.319520627,F
b_urbanized_4_mode_4,0.010923439,F
b_urbanized_4_mode_5,-0.157761108,F
b_urbanized_4_mode_6,0.781167725,F
b_urbanized_4_mode_7,-0.331346286,F
b_urbanized_5_mode_2,-0.498067744,F
b_urbanized_5_mode_3,-0.622245377,F
b_urbanized_5_mode_4,-0.932173309,F
b_urbanized_5_mode_5,-1.223400215,F
b_urbanized_5_mode_6,-6.425281431,F
b_urbanized_5_mode_7,-1.662958079,F
