coefficient_name,value,constrain
coef_early_start_at_5,-7.765548476,F
coef_am_peak_start_at_6,-6.156717826999998,F
coef_am_peak_start_at_7,-4.0617174011991715,F
coef_am_peak_start_at_8,-2.3305685258797286,F
coef_am_peak_start_at_9,-1.881623305677853,F
coef_midday_start_at_10_11_12,0.0,T
coef_midday_start_at_13_14_15,-0.7845104400666165,F
coef_pm_peak_start_at_16_17_18,4832036.327826252,F
coef_evening_start_at_19_20_21,-1.015090023,F
coef_late_start_at_22_23,-0.737570054,F
coef_early_end_at_5_6,-2.928312295,F
coef_am_peak_end,-2.9283265601312216,F
coef_midday_end_at_10_11_12,-2.2983708629870665,F
coef_midday_end_at_13_14,0.0,T
coef_pm_peak_end_at_15,-0.581999310888022,F
coef_pm_peak_end_at_16,-1.317264276337399,F
coef_pm_peak_end_at_17,-48699406588.243614,F
coef_pm_peak_end_at_18,48704238622.358986,F
coef_evening_end_at_19_20_21,-2.31998226,F
coef_late_end_at_22_23,-2.31998226,F
coef_duration_of_0_hours,1162127128.9232633,F
coef_duration_of_1_hour,0.0,T
coef_duration_of_2_to_3_hours,-1157295094.6535666,F
coef_duration_of_4_to_5_hours,-0.8198087832032903,F
coef_duration_of_6_to_7_hours,1.0879188400274857,F
coef_duration_of_8_to_10_hours,1.7340316261220865,F
coef_duration_of_11_to_13_hours,0.29999999597904653,F
coef_duration_of_14_to_18_hours,0.0,T
coef_start_shift_for_outbound_auto_travel_time_off_peak,179797165921.4937,F
coef_start_shift_for_inbound_auto_travel_time_off_peak,174802874185.04364,F
coef_duration_shift_for_outbound_auto_travel_time_off_peak,-4166262225.50888,F
coef_duration_shift_for_inbound_auto_travel_time_off_peak,-4050532826.546948,F
coef_start_shift_for_business_related_,49943678338.47235,F
coef_duration_shift_for_business_related_,-1157295093.0373306,F
coef_start_shift_for_first_sub_tour_of_same_work_tour,49943678338.04035,F
coef_duration_shift_for_first_sub_tour_of_same_work_tour,-1157295093.7011306,F
coef_start_shift_for_subsequent_sub_tour_of_same_work_tour,-0.18439998509883881,F
coef_duration_shift_for_subsequent_sub_tour_of_same_work_tour,-0.1844,F
coef_start_shift_for_number_of_mandatory_tours,49943678338.564354,F
coef_duration_shift_for_number_of_mandatory_tours,-1157295094.0721307,F
coef_start_shift_for_number_of_joint_tours,-0.0206,F
coef_duration_shift_for_number_of_joint_tours,-0.2497,F
coef_start_shift_for_number_of_individual_nonmandatory_tours,49943678338.570854,F
coef_duration_shift_for_number_of_individual_nonmandatory_tours,-1157295093.3441305,F
coef_dummy_for_business_related_purpose_and_duration_from_0_to_1,4832035.003237783,F
coef_dummy_for_eating_out_purpose_and_duration_of_1_hour,-1157295092.8838015,F
coef_dummy_for_eating_out_purpose_and_departure_at_11,1.5097247772936957,F
coef_dummy_for_eating_out_purpose_and_departure_at_12,2.7149285174018023,F
coef_dummy_for_eating_out_purpose_and_departure_at_13,2.1170189665212282,F
